GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement_Coverage,Branch_Coverage,Complexity,Rank_Statement,Rank_Branch,Rank_Complex,d^2 of S and B,d^2 of S and C,d^2 of B and C
Apache Commons Configuration,org.apache.commons.configuration2,XMLDocumentHelper,0,192,0,4,0,58,0,20,0,18,,1,1,20,177.5,218,202,1640.25,600.25,256
Apache Commons Configuration,org.apache.commons.configuration2,XMLListReference,0,150,1,19,0,38,1,17,0,8,,1,0.95,18,177,161,191,256,196,900
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventSource() {...},0,6,0,0,0,3,0,3,0,3,,1,0.83,3,176.5,79.5,58,9409,14042.25,462.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventListener() {...},0,9,0,0,0,3,0,2,0,2,,1,0.83,2,176,79,29,9409,21609,2500
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader,0,35,0,0,0,13,0,6,0,6,,1,0.83,6,175.5,78.5,113,9409,3906.25,1190.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter,11,214,0,20,2,54,1,25,1,15,,0.951111111,1,26,58,213.5,208.5,24180.25,22650.25,25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout,13,653,4,80,4,172,4,75,0,37,,0.98048048,0.952380952,79,78,159,246,6561,28224,7569
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader.SAXConverter,0,24,0,2,0,7,0,4,0,3,,1,1,4,173,212,76.5,1521,9312.25,18360.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration,78,298,14,20,15,81,14,17,2,12,,0.792553191,0.588235294,31,32,17,215.5,225,33672.25,39402.25
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration,20,225,4,20,3,48,4,28,0,20,,0.918367347,0.833333333,32,45,125,216.5,6400,29412.25,8372.25
