GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,StatementCoverage,BranchCoverage,ComplexityCoverage,Rank_Statement,Rank_Branch,Rank_Complex,d^2ofQandR,d^2ofQandS,d^2ofRandS
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new Predicate() {...},0,15,0,2,0,2,0,3,0,2,1,1,3,52.5,60,22.5,56.25,900,1406.25
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new SetUtils.SetView() {...},13,41,5,3,1,4,4,5,1,4,0.759259259,0.375,9,20,5,41.5,225,462.25,1332.25
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.SetOperationCardinalityHelper,0,48,0,2,0,11,0,5,0,4,1,1,5,51,58.5,29,56.25,484,870.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.7.new LazyIteratorChain() {...},0,18,0,2,0,4,0,3,0,2,1,1,3,50.5,58,22,56.25,812.25,1296
Apache Commons Collections,org.apache.commons.collections4,IteratorUtils,332,542,60,82,79,147,57,84,19,51,0.6201373,0.577464789,141,13,12,61,1,2304,2401
Apache Commons Collections,org.apache.commons.collections4,SetUtils.SetView,16,11,0,0,5,3,2,3,2,3,0.407407407,0.78,5,6,29.5,27.5,552.25,462.25,4
Apache Commons Collections,org.apache.commons.collections4,ClosureUtils,3,112,0,4,1,28,1,18,1,16,0.973913043,1,19,33,55.5,51,506.25,324,20.25
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils,16,32,3,7,4,8,4,4,1,2,0.666666667,0.7,8,14,14,35.5,0,462.25,462.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,13,0,0,0,2,0,2,0,2,1,0.78,2,46,28,11.5,324,1190.25,272.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,17,0,0,0,2,0,2,0,2,1,0.78,2,45.5,27.5,11,324,1190.25,272.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,44,0,2,0,6,0,3,0,2,1,1,3,45,52,19.5,49,650.25,1056.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,2,0,2,0,2,1,0.78,2,44.5,27,10.5,306.25,1156,272.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,11,0,0,0,2,0,2,0,2,1,0.78,2,44,26.5,10,306.25,1156,272.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,2,0,2,0,2,1,0.78,2,43.5,26,9.5,306.25,1156,272.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,2,0,2,0,2,1,0.78,2,43,25.5,9,306.25,1156,272.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,22,0,0,0,2,0,2,0,2,1,0.78,2,42.5,25,8.5,306.25,1156,272.25
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils,57,1374,21,237,14,328,21,176,1,67,0.960167715,0.918604651,197,28,39,51,121,529,144
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,18,0,0,0,2,0,2,0,2,1,0.78,2,41,24.5,8,272.25,1089,272.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,11,0,0,0,2,0,2,0,2,1,0.78,2,40.5,24,7.5,272.25,1089,272.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,5,0,0,0,2,0,2,0,2,1,0.78,2,40,23.5,7,272.25,1089,272.25
Apache Commons Collections,org.apache.commons.collections4,MultiMapUtils,32,77,4,16,9,22,9,14,5,8,0.706422018,0.8,23,14,32,40,324,676,64
Apache Commons Collections,org.apache.commons.collections4,TrieUtils,3,3,0,0,1,1,1,1,1,1,0.5,0.78,2,8.5,23,6.5,210.25,4,272.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils,54,526,3,59,6,120,6,68,3,40,0.906896552,0.951612903,74,23,35,44,144,441,81
Apache Commons Collections,org.apache.commons.collections4,ArrayStack,23,70,6,10,6,24,6,10,2,6,0.752688172,0.625,16,14,13,35,1,441,484
Apache Commons Collections,org.apache.commons.collections4,FactoryUtils,3,21,0,0,1,6,1,6,1,6,0.875,0.78,7,19,21.5,20,6.25,1,2.25
Apache Commons Collections,org.apache.commons.collections4,MapUtils,579,510,114,72,197,109,113,54,55,19,0.468319559,0.387096774,167,7,5,42,4,1225,1369
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.EquatorWrapper,2,32,1,1,1,9,1,4,0,4,0.941176471,0.5,5,21,8,15,169,36,49
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,2,0,2,0,2,1,0.78,2,32.5,19,6,182.25,702.25,169
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},4,20,1,1,0,4,1,2,0,2,0.833333333,0.5,3,16,7.5,9,72.25,49,2.25
Apache Commons Collections,org.apache.commons.collections4,ListUtils,43,376,8,66,9,90,13,48,6,18,0.897374702,0.891891892,61,18,25,38,49,400,169
Apache Commons Collections,org.apache.commons.collections4,QueueUtils,3,19,0,0,1,5,1,5,1,5,0.863636364,0.78,6,16,17.5,14.5,2.25,2.25,9
Apache Commons Collections,org.apache.commons.collections4,ListUtils.Partition,46,51,3,3,4,12,4,3,1,3,0.525773196,0.5,7,8,7,15.5,1,56.25,72.25
Apache Commons Collections,org.apache.commons.collections4,MultiSetUtils,21,0,0,0,7,0,6,0,6,0,0,0.78,6,1,16,14,225,169,4
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.new Transformer() {...},0,13,0,0,0,2,0,2,0,2,1,0.78,2,27,15.5,5.5,132.25,462.25,100
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.new Transformer() {...},0,13,0,0,0,2,0,2,0,2,1,0.78,2,26.5,15,5,132.25,462.25,100
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.new Transformer() {...},0,13,0,0,0,2,0,2,0,2,1,0.78,2,26,14.5,4.5,132.25,462.25,100
Apache Commons Collections,org.apache.commons.collections4,ListUtils.CharSequenceAsList,0,16,0,0,0,5,0,3,0,3,1,0.78,3,25.5,14,5.5,132.25,400,72.25
Apache Commons Collections,org.apache.commons.collections4,MapUtils.new AbstractMapDecorator() {...},0,4,0,0,0,1,0,1,0,1,1,0.78,1,25,13.5,2,132.25,529,132.25
Apache Commons Collections,org.apache.commons.collections4,MapUtils.new AbstractSortedMapDecorator() {...},0,4,0,0,0,1,0,1,0,1,1,0.78,1,24.5,13,1.5,132.25,529,132.25
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils.WrappedGet,30,79,4,4,6,17,8,12,4,12,0.724770642,0.5,20,10,6.5,24,12.25,196,306.25
Apache Commons Collections,org.apache.commons.collections4,TransformerUtils,3,137,0,4,1,34,1,25,1,23,0.978571429,1,26,18,22.5,24,20.25,36,2.25
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.CardinalityHelper,0,51,0,2,0,12,0,7,0,6,1,1,7,22,22,8,0,196,196
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils.WrappedPut,3,82,3,3,1,20,3,15,0,15,0.964705882,0.5,18,15,6,22,81,49,256
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.MutableInteger,18,6,4,0,4,3,4,1,2,1,0.25,0,5,2,2.5,6.5,0.25,20.25,16
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.UniqueSetIterator,0,53,0,2,0,16,0,4,0,3,1,1,4,19.5,19.5,4.5,0,225,225
Apache Commons Collections,org.apache.commons.collections4.multiset,SynchronizedMultiSet.SynchronizedSet,0,5,0,0,0,2,0,1,0,1,1,0.78,1,19,9.5,1,90.25,324,72.25
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.EntrySet,61,10,10,0,16,4,8,2,3,2,0.14084507,0,10,1,2,9.5,1,72.25,56.25
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSetDecorator,29,29,0,4,7,6,6,7,6,5,0.5,1,13,4,17,13.5,169,90.25,12.25
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.AbstractEntry,45,19,12,0,9,2,8,2,2,2,0.296875,0,10,1,1.5,9,0.25,64,56.25
Apache Commons Collections,org.apache.commons.collections4.multiset,HashMultiSet,7,23,0,0,3,9,1,3,1,3,0.766666667,0.78,4,6,7,3,1,9,16
Apache Commons Collections,org.apache.commons.collections4.multiset,SynchronizedMultiSet,76,97,0,2,15,19,3,10,3,9,0.560693642,1,13,3,14.5,11,132.25,64,12.25
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.MapBasedMultiSetIterator,4,112,1,13,1,26,1,10,0,4,0.965517241,0.928571429,11,9,11,8.5,4,0.25,6.25
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet,14,425,5,43,3,101,5,40,0,21,0.968109339,0.895833333,45,9,9,14,0,25,25
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.UniqueSet,0,41,0,2,0,10,0,8,0,7,1,1,8,11.5,12,5,0.25,42.25,49
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.MultiSetEntry,0,16,0,0,0,5,0,3,0,3,1,0.78,3,11,6.5,2,20.25,81,20.25
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.MultiSetIterator,29,55,4,6,8,13,3,6,1,3,0.654761905,0.6,9,4,3,5,1,1,4
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.new Transformer() {...},0,9,0,0,0,2,0,2,0,2,1,0.78,2,9.5,5,1,20.25,72.25,16
Apache Commons Collections,org.apache.commons.collections4.multiset,PredicatedMultiSet,13,55,0,4,3,11,2,11,2,9,0.808823529,1,13,5,8.5,5.5,12.25,0.25,9
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.EntrySetIterator,18,34,2,0,6,10,2,3,1,3,0.653846154,0,5,3,1,1,4,4,0
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet,179,131,27,19,44,33,24,21,9,13,0.422580645,0.413043478,45,2,1,7.5,1,30.25,42.25
Apache Commons Collections,org.apache.commons.collections4.multiset,UnmodifiableMultiSet,19,67,0,2,5,21,4,13,4,12,0.779069767,1,17,2,6,6,16,16,0
Apache Commons Collections,org.apache.commons.collections4.queue,AbstractQueueDecorator,20,12,0,0,6,4,5,3,5,3,0.375,0.78,8,1,2.5,1.5,2.25,0.25,1
Apache Commons Collections,org.apache.commons.collections4.queue,TransformedQueue,0,78,1,3,0,16,1,10,0,9,1,0.75,11,4,1,2,9,4,1
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue.new Iterator() {...},0,192,0,18,0,32,0,13,0,4,1,1,13,3.5,3.5,2,0,2.25,2.25
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue,27,337,4,44,6,86,5,40,1,20,0.925824176,0.916666667,45,2,2,3,0,1,1
Apache Commons Collections,org.apache.commons.collections4.queue,PredicatedQueue,0,39,0,0,0,10,0,8,0,8,1,0.78,8,2,1,1,1,1,0
Apache Commons Collections,org.apache.commons.collections4.queue,UnmodifiableQueue,8,64,0,2,2,20,2,13,2,12,0.888888889,1,15,1,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,3053295.75,6664476.25,4931913
,,,,,,,,,,,,,,,,,,,0.824668734,0.617301712,0.716791749
,,,,,,,,,,,,,,,,,,,0.593053326,-0.071001381,-0.03479466
