GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,Rank_Statement,Rank_Branch,Rank_Comp,d ^2 of S and B,d ^2 of S and C,d ^2 of B and C
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,36,140,4,26,5,42,6,15,2,4,0.795454545,0.866666667,21,37,152,237,13225,40000,7225
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,DefaultBeanFactory,7,257,3,27,0,66,3,28,0,16,0.973484848,0.9,31,88,164,256,5776,28224,8464
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper.BeanCreationContextImpl,5,30,0,0,1,11,1,5,1,5,0.857142857,0.83,6,46.5,91.5,134,2025,7656.25,1806.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration.NodeData,0,89,0,2,0,17,0,10,0,9,1,1,10,205.5,251,171.5,2070.25,1156,6320.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,51,315,8,28,13,74,7,36,0,25,0.860655738,0.777777778,43,47,29.5,269,306.25,49284,57360.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConstructorArg,3,115,1,13,0,27,1,17,0,11,0.974576271,0.928571429,18,86,172,219.5,7396,17822.25,2256.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,0,153,0,26,0,41,0,20,0,7,1,1,20,203,248.5,230,2070.25,729,342.25
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper,101,388,11,39,24,106,7,42,0,24,0.793456033,0.78,49,36,30,271,36,55225,58081
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,75,299,10,36,7,62,9,26,0,12,0.799465241,0.782608696,35,36,30,255.5,36,48180.25,50850.25
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration,392,465,25,27,83,124,68,43,50,35,0.542590432,0.519230769,111,17,15,289,4,73984,75076
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationLookup,0,21,0,2,0,7,0,4,0,3,1,1,4,199.5,245,90.5,2070.25,11881,23870.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter.new ValueTransformer() {...},0,10,0,0,0,3,0,2,0,2,1,0.83,2,199,87,32,12544,27889,3025
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,0,29,0,0,0,7,0,4,0,4,1,0.83,4,198.5,86.5,89,12544,11990.25,6.25
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,0,35,0,4,0,11,0,5,0,3,1,1,5,198,242.5,112.5,1980.25,7310.25,16900
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout.PropertyLayoutData,13,81,1,9,3,26,1,15,0,11,0.861702128,0.9,16,45,156.5,205,12432.25,25600,2352.25
Apache Commons Configuration,org.apache.commons.configuration2,StrictConfigurationComparator,0,63,0,16,0,19,0,10,0,2,1,1,10,196.5,241,167,1980.25,870.25,5476
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.JdbcOperation,3,148,1,11,1,31,1,11,0,6,0.98013245,0.916666667,12,88,160,176,5184,7744,256
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration.XMLBuilderVisitor,18,369,6,48,4,98,6,33,0,12,0.953488372,0.888888889,39,68,153.5,254,7310.25,34596,10100.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.JupIOFactory,0,23,0,0,0,7,0,4,0,4,1,0.83,4,194,86,88.5,11664,11130.25,6.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.JupPropertiesWriter,0,42,0,0,0,10,0,2,0,2,1,0.83,2,193.5,85.5,31.5,11664,26244,2916
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration.XMLPropertiesHandler,0,71,0,8,0,18,0,8,0,4,1,1,8,193,236.5,147.5,1892.25,2070.25,7921
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration,11,782,6,126,4,201,7,85,1,25,0.986128625,0.954545455,92,90,178.5,275,7832.25,34225,9312.25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractYAMLBasedConfiguration,15,205,2,18,3,48,2,17,1,8,0.931818182,0.9,19,56,153,214.5,9409,25122.25,3782.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,40,1,1,0,4,1,2,0,2,0.975609756,0.5,3,81,12.5,63.5,4692.25,306.25,2601
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,49,0,0,0,4,0,2,0,2,1,0.83,2,189.5,84,31,11130.25,25122.25,2809
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,50,0,0,0,5,0,2,0,2,1,0.83,2,189,83.5,30.5,11130.25,25122.25,2809
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,30,0,0,0,4,0,2,0,2,1,0.83,2,188.5,83,30,11130.25,25122.25,2809
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,89,0,8,0,15,0,6,0,2,1,1,6,188,230,123.5,1764,4160.25,11342.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,110,0,6,0,17,0,5,0,2,1,1,5,187.5,229.5,106,1764,6642.25,15252.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.BuilderVisitor,0,117,1,19,0,34,1,13,0,4,1,0.95,14,187,168,182,361,25,196
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration.SubsetIterator,0,25,0,0,0,7,0,4,0,4,1,0.83,4,186.5,82.5,83,10816,10712.25,0.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils,36,367,1,33,11,95,4,37,3,21,0.910669975,0.970588235,41,47,176,244,16641,38809,4624
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,54,0,2,0,6,0,3,0,2,1,1,3,185,226,60,1681,15625,27556
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationConverter,0,76,0,6,0,24,0,8,0,5,1,1,8,184.5,225.5,139,1681,2070.25,7482.25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedKeysVisitor,0,96,0,6,0,22,0,9,0,6,1,1,9,184,225,147,1681,1369,6084
Apache Commons Configuration,org.apache.commons.configuration2,EnvironmentConfiguration,0,22,0,0,0,5,0,4,0,4,1,0.83,4,183.5,82,81.5,10302.25,10404,0.25
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration.DataConversionHandler,1,34,1,5,0,8,1,4,0,2,0.971428571,0.833333333,5,76,133,102.5,3249,702.25,930.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.DefaultIOFactory,0,14,0,0,0,3,0,3,0,3,1,0.83,3,182,81.5,59.5,10100.25,15006.25,484
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader.SAXVisitor,6,85,3,7,0,20,3,8,0,6,0.934065934,0.7,11,56,19.5,154.5,1332.25,9702.25,18225
Apache Commons Configuration,org.apache.commons.configuration2,XMLDocumentHelper,0,192,0,4,0,58,0,20,0,18,1,1,20,180.5,220.5,203.5,1600,529,289
Apache Commons Configuration,org.apache.commons.configuration2,XMLListReference,0,150,1,19,0,38,1,17,0,8,1,0.95,18,180,162.5,194,306.25,196,992.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventSource() {...},0,6,0,0,0,3,0,3,0,3,1,0.83,3,179.5,80,59,9900.25,14520.25,441
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventListener() {...},0,9,0,0,0,3,0,2,0,2,1,0.83,2,179,79.5,29.5,9900.25,22350.25,2500
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader,0,35,0,0,0,13,0,6,0,6,1,0.83,6,178.5,79,115,9900.25,4032.25,1296
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter,11,226,1,21,2,59,2,26,1,16,0.953586498,0.954545455,28,65,163,213.5,9604,22052.25,2550.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout,13,653,4,80,4,172,4,75,0,37,0.98048048,0.952380952,79,81,161,249,6400,28224,7744
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader.SAXConverter,0,24,0,2,0,7,0,4,0,3,1,1,4,176,214,78,1444,9604,18496
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration,78,298,14,20,15,81,14,17,2,12,0.792553191,0.588235294,31,34,16,218.5,324,34040.25,41006.25
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration,20,225,4,20,3,48,4,28,0,20,0.918367347,0.833333333,32,48,126.5,219.5,6162.25,29412.25,8649
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.new ConfigurationInterpolator() {...},0,15,0,0,0,3,0,2,0,2,1,0.83,2,173.5,77.5,29,9216,20880.25,2352.25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration,6,590,1,51,2,137,1,61,0,36,0.989932886,0.980769231,62,83,166,238.5,6889,24180.25,5256.25
Apache Commons Configuration,org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,429,82,11,5,73,17,65,6,57,6,0.160469667,0.3125,71,6,6.5,241.5,0.25,55460.25,55225
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap,0,36,0,0,0,10,0,5,0,5,1,0.83,5,171,76,97,9025,5476,441
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration,80,1407,17,111,10,346,15,155,0,105,0.946200403,0.8671875,170,55,126,249,5041,37636,15129
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.ConfigData,0,21,0,0,0,8,0,4,0,4,1,0.83,4,169.5,75.5,76.5,8836,8649,1
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfiguration,6,136,0,8,2,35,0,15,0,11,0.957746479,1,15,62,205.5,172.5,20592.25,12210.25,1089
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration,2,715,3,67,0,201,3,68,0,36,0.9972106,0.957142857,71,87,156,238,4761,22801,6724
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.JupPropertiesWriter.new ValueTransformer() {...},0,64,0,4,0,10,0,4,0,2,1,1,4,167,204,76,1369,8281,16384
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration.new EntityResolver() {...},0,15,0,0,0,2,0,2,0,2,1,0.83,2,166.5,75,28.5,8372.25,19044,2162.25
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.CurrentConfigHolder,0,35,0,2,0,10,0,7,0,6,1,1,7,166,202.5,119.5,1332.25,2162.25,6889
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration,22,706,2,10,3,127,4,100,2,96,0.96978022,0.833333333,104,66,121,238.5,3025,29756.25,13806.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration,35,483,9,59,7,134,9,53,0,28,0.932432432,0.867647059,62,52,123,232,5041,32400,11881
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesReader,0,211,1,13,0,56,1,22,0,16,1,0.928571429,23,163.5,138.5,197,625,1122.25,3422.25
Apache Commons Configuration,org.apache.commons.configuration2,JSONConfiguration,19,61,0,0,8,14,1,4,1,4,0.7625,0.83,5,29,74.5,93.5,2070.25,4160.25,361
Apache Commons Configuration,org.apache.commons.configuration2,SubnodeConfiguration,0,99,0,6,0,26,0,14,0,11,1,1,14,162,198,162.5,1296,0.25,1260.25
Apache Commons Configuration,org.apache.commons.configuration2,YAMLConfiguration,56,49,0,0,23,16,3,5,3,5,0.466666667,0.83,8,14,74,124.5,3600,12210.25,2550.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new BaseHierarchicalConfiguration() {...},5,13,0,0,1,2,1,2,1,2,0.722222222,0.83,3,26,73.5,55.5,2256.25,870.25,324
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,1,0.83,2,159.5,73,28,7482.25,17292.25,2025
Apache Commons Configuration,org.apache.commons.configuration2,PrefixedKeysIterator,9,75,3,13,2,19,3,10,0,5,0.892857143,0.8125,13,41,28,151.5,169,12210.25,15252.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.Entry,13,20,0,0,3,5,1,3,1,3,0.606060606,0.83,4,18,71.5,72.5,2862.25,2970.25,1
Apache Commons Configuration,org.apache.commons.configuration2,SystemConfiguration,4,78,1,5,2,21,2,7,1,5,0.951219512,0.83,9,51,71,128.5,400,6006.25,3306.25
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel.new NodeHandlerDecorator() {...},5,97,1,7,0,25,1,11,0,8,0.950980392,0.875,12,50,119,142.5,4761,8556.25,552.25
