GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,Rank.N,Rank.O,Rank.P,D*2(Q&R),"D*2(Q,S)",D*2(R&S)
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerRegistrationData,16,55,1,11,4,16,2,9,1,4,0.774647887,0.916666667,11,21,114.5,127.5,8742.25,11342.25,169
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList.new Iterable() {...},0,15,0,0,0,2,0,2,0,2,1,0.83,2,134.5,65.5,25.5,4761,11881,1600
Apache Commons Configuration,org.apache.commons.configuration2.event,BaseEventSource,0,215,0,20,0,58,0,27,0,17,1,1,27,134,169,175.5,1225,1722.25,42.25
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationErrorEvent,0,48,0,0,0,13,0,6,0,6,1,0.83,6,133.5,65,93.5,4692.25,1600,812.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventType,0,64,0,6,0,20,0,9,0,6,1,1,9,133,167.5,115,1190.25,324,2756.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList,0,174,1,21,0,45,1,23,0,13,1,0.954545455,24,132.5,124.5,169.5,64,1369,2025
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationEvent,0,78,0,0,0,17,0,5,0,5,1,0.83,5,132,64.5,81.5,4556.25,2550.25,289
Apache Commons Configuration,org.apache.commons.configuration2.event,Event,0,75,0,2,0,16,0,6,0,5,1,1,6,131.5,165,92,1122.25,1560.25,5329
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList.EventListenerIterator,0,111,0,14,0,33,0,16,0,9,1,1,16,131,164.5,145,1122.25,196,380.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler.new ConfigurationInterpolator() {...},0,5,0,0,0,2,0,2,0,2,1,0.83,2,130.5,64,25,4422.25,11130.25,1521
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler,0,304,0,46,0,67,0,41,0,18,1,1,41,130,163,182,1089,2704,361
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler.new ValueTransformer() {...},0,5,0,0,0,2,0,2,0,2,1,0.83,2,129.5,63.5,24.5,4356,11025,1521
Apache Commons Configuration,org.apache.commons.configuration2.convert,DisabledListDelimiterHandler,0,26,0,0,0,7,0,5,0,5,1,0.83,5,129,63,79,4356,2500,256
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultListDelimiterHandler,0,169,0,26,0,44,0,18,0,5,1,1,18,128.5,160.5,149.5,1024,441,121
Apache Commons Configuration,org.apache.commons.configuration2.convert,PropertyConverter,88,1027,20,128,14,187,21,76,1,22,0.921076233,0.864864865,97,32,99,190,4489,24964,8281
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler,0,5,0,0,0,1,0,1,0,1,1,0.83,1,127,62.5,4.5,4160.25,15006.25,3364
Apache Commons Configuration,org.apache.commons.configuration2.convert,AbstractListDelimiterHandler,5,133,1,21,1,27,1,17,0,7,0.963768116,0.954545455,18,42,118,148,5776,11236,900
Apache Commons Configuration,org.apache.commons.configuration2.convert,LegacyListDelimiterHandler,4,241,5,33,2,66,6,22,1,8,0.983673469,0.868421053,28,51,98.5,164,2256.25,12769,4290.25
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationException,0,16,0,0,0,8,0,4,0,4,1,0.83,4,124.5,62,62.5,3906.25,3844,0.25
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConversionException,7,9,0,0,4,4,2,2,2,2,0.5625,0.83,4,10,61.5,62,2652.25,2704,0.25
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationRuntimeException,0,16,0,0,0,8,0,4,0,4,1,0.83,4,123,61,61.5,3844,3782.25,0.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory.NodeWrapper,0,15,0,0,0,6,0,3,0,3,1,0.83,3,122.5,60.5,45.5,3844,5929,225
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory,18,28,2,2,5,8,2,5,1,4,0.608695652,0.5,7,12,10.5,92,2.25,6400,6642.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathContextFactory,0,13,0,0,0,6,0,2,0,2,1,0.83,2,121,59,23,3844,9604,1296
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorAttribute,0,100,0,12,0,24,0,11,0,5,1,1,11,120.5,150,112,870.25,72.25,1444
