GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement_Coverage,Branch_Coverage,Coverage,rank.o,rank.p,rank.q,D*2 R&S,D*2 R&T,D*2 S&T
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration,6,590,1,51,2,137,1,61,0,36,,0.989932886,0.980769231,62,82,163,234,6561,23104,5041
Apache Commons Configuration,org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,430,86,12,6,73,18,66,6,57,6,,0.166666667,0.333333333,72,4,7.5,26.5,12.25,506.25,361
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap,0,36,0,0,0,10,0,5,0,5,,1,0.83,5,168,75,165,8649,9,8100
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration,80,1407,17,111,10,346,15,155,0,105,,0.946200403,0.8671875,170,53,125,210,5184,24649,7225
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.ConfigData,0,21,0,0,0,8,0,4,0,4,,1,0.83,4,166.5,74.5,163.5,8464,9,7921
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfiguration,6,136,0,8,2,35,0,15,0,11,,0.957746479,1,15,60,202.5,244,20306.25,33856,1722.25
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration,2,715,3,67,0,201,3,68,0,36,,0.9972106,0.957142857,71,84,153,228.5,4761,20880.25,5700.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration.new EntityResolver() {...},0,15,0,0,0,2,0,2,0,2,,1,0.83,2,164,74,162,8100,4,7744
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.CurrentConfigHolder,0,35,0,2,0,10,0,7,0,6,,1,1,7,163.5,200,241,1332.25,6006.25,1681
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration,22,706,2,10,3,127,4,100,2,96,,0.96978022,0.833333333,104,64,118.5,199,2970.25,18225,6480.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration,35,475,9,55,7,132,9,50,0,27,,0.931372549,0.859375,59,50,120,199,4900,22201,6241
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesReader,0,196,1,11,0,51,1,19,0,14,,1,0.916666667,20,161,132,212,841,2601,6400
Apache Commons Configuration,org.apache.commons.configuration2,JSONConfiguration,19,61,0,0,8,14,1,4,1,4,,0.7625,0.83,5,27,73.5,161,2162.25,17956,7656.25
Apache Commons Configuration,org.apache.commons.configuration2,SubnodeConfiguration,0,99,0,6,0,26,0,14,0,11,,1,1,14,159.5,195.5,236,1296,5852.25,1640.25
Apache Commons Configuration,org.apache.commons.configuration2,YAMLConfiguration,56,49,0,0,23,16,3,5,3,5,,0.466666667,0.83,8,12,73,159.5,3721,21756.25,7482.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new BaseHierarchicalConfiguration() {...},5,13,0,0,1,2,1,2,1,2,,0.722222222,0.83,3,24,72.5,158,2352.25,17956,7310.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,,1,0.83,2,157,72,157,7225,0,7225
Apache Commons Configuration,org.apache.commons.configuration2,PrefixedKeysIterator,9,75,3,13,2,19,3,10,0,5,,0.892857143,0.8125,13,39,29,82,100,1849,2809
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.Entry,13,20,0,0,3,5,1,3,1,3,,0.606060606,0.83,4,16,70.5,155,2970.25,19321,7140.25
Apache Commons Configuration,org.apache.commons.configuration2,SystemConfiguration,4,79,1,5,2,21,2,7,1,5,,0.951807229,0.833333333,9,49,112,181,3969,17424,4761
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel.new NodeHandlerDecorator() {...},5,97,1,7,0,25,1,11,0,8,,0.950980392,0.875,12,48,116.5,187,4692.25,19321,4970.25
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration,36,214,0,18,12,62,6,30,6,21,,0.856,1,36,33,188,228,24025,38025,1600
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader,0,36,0,0,0,13,0,6,0,6,,1,83,6,151.5,228,228,5852.25,5852.25,0
Apache Commons Configuration,org.apache.commons.configuration2,MapConfiguration,27,141,0,10,3,38,1,19,1,14,,0.839285714,1,20,30,187.5,227,24806.25,38809,1560.25
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationConverter,1,180,2,16,1,45,2,13,0,6,,0.994475138,0.888888889,15,69,118,189.5,2401,14520.25,5112.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration,4,554,1,31,1,138,1,48,0,33,,0.992831541,0.96875,49,68,141,208,5329,19600,4489
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationXMLReader,24,110,1,13,14,41,10,20,9,14,,0.820895522,0.928571429,30,29,128,201,9801,29584,5329
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration,32,892,1,103,7,237,1,88,0,37,,0.965367965,0.990384615,89,52,144,210.5,8464,25122.25,4422.25
Apache Commons Configuration,org.apache.commons.configuration2,CompositeConfiguration,17,590,6,72,7,158,6,60,0,27,,0.97199341,0.923076923,66,54,125,196.5,5041,20306.25,5112.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet,0,28,0,2,0,9,0,4,0,3,,1,1,4,145,182,221,1369,5776,1521
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedVisitor,0,21,0,4,0,6,0,5,0,3,,1,1,5,144.5,181.5,220,1369,5700.25,1482.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration.new DefaultHandler() {...},0,8,0,0,0,2,0,2,0,2,,1,0.83,2,144,70,154,5476,100,7056
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration.ConfigData,0,160,0,8,0,43,0,14,0,10,,1,1,14,143.5,180,218,1332.25,5550.25,1444
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler.ImmutableIterator,0,19,0,0,0,6,0,4,0,4,,1,0.83,4,143,69.5,153,5402.25,100,6972.25
Apache Commons Configuration,org.apache.commons.configuration2,JNDIConfiguration,18,365,4,34,5,105,7,31,3,16,,0.953002611,0.894736842,38,47,116,183,4761,18496,4489
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel,0,11,0,0,0,3,0,2,0,2,,1,0.83,2,141.5,69,152,5256.25,110.25,6889
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.InterpolatedVisitor,28,174,4,10,7,44,3,17,0,13,,0.861386139,0.714285714,20,32,19,55.5,169,552.25,1332.25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration.new EventListener() {...},8,6,0,0,2,1,1,1,1,1,,0.428571429,0.83,2,10.5,67.5,147.5,3249,18769,6400
Apache Commons Configuration,org.apache.commons.configuration2,FindNodeVisitor,0,25,0,2,0,10,0,6,0,5,,1,1,6,139,174.5,212,1260.25,5329,1406.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerRegistrationData,16,55,1,11,4,16,2,9,1,4,,0.774647887,0.916666667,11,23,116.5,180.5,8742.25,24806.25,4096
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList.new Iterable() {...},0,15,0,0,0,2,0,2,0,2,,1,0.83,2,137.5,67,146,4970.25,72.25,6241
Apache Commons Configuration,org.apache.commons.configuration2.event,BaseEventSource,0,215,0,20,0,58,0,27,0,17,,1,1,27,137,172,209,1225,5184,1369
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationErrorEvent,0,48,0,0,0,13,0,6,0,6,,1,0.83,6,136.5,66.5,145,4900,72.25,6162.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventType,0,64,0,6,0,20,0,9,0,6,,1,1,9,136,170.5,207,1190.25,5041,1332.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList,0,174,1,21,0,45,1,23,0,13,,1,0.954545455,24,135.5,127.5,190,64,2970.25,3906.25
Apache Commons Configuration,org.apache.commons.configuration2.event,ConfigurationEvent,0,78,0,0,0,17,0,5,0,5,,1,0.83,5,135,66,143.5,4761,72.25,6006.25
Apache Commons Configuration,org.apache.commons.configuration2.event,Event,0,75,0,2,0,16,0,6,0,5,,1,1,6,134.5,168,204,1122.25,4830.25,1296
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList.EventListenerIterator,0,111,0,14,0,33,0,16,0,9,,1,1,16,134,167.5,203,1122.25,4761,1260.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler.new ConfigurationInterpolator() {...},0,5,0,0,0,2,0,2,0,2,,1,0.83,2,133.5,65.5,141.5,4624,64,5776
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultConversionHandler,0,304,0,46,0,67,0,41,0,18,,1,1,41,133,166,201,1089,4624,1225
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler.new ValueTransformer() {...},0,5,0,0,0,2,0,2,0,2,,1,0.83,2,132.5,65,140,4556.25,56.25,5625
Apache Commons Configuration,org.apache.commons.configuration2.convert,DisabledListDelimiterHandler,0,26,0,0,0,7,0,5,0,5,,1,0.83,5,132,64.5,139,4556.25,49,5550.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,DefaultListDelimiterHandler,0,169,0,26,0,44,0,18,0,5,,1,1,18,131.5,163.5,198,1024,4422.25,1190.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,PropertyConverter,155,1098,26,144,22,206,27,84,1,25,,0.876296887,0.847058824,111,31,101,165,4900,17956,4096
Apache Commons Configuration,org.apache.commons.configuration2.convert,ListDelimiterHandler,0,5,0,0,0,1,0,1,0,1,,1,0.83,1,130,64,137.5,4356,56.25,5402.25
Apache Commons Configuration,org.apache.commons.configuration2.convert,AbstractListDelimiterHandler,5,133,1,21,1,27,1,17,0,7,,0.963768116,0.954545455,18,45,121,176,5776,17161,3025
Apache Commons Configuration,org.apache.commons.configuration2.convert,LegacyListDelimiterHandler,4,241,5,33,2,66,6,22,1,8,,0.983673469,0.868421053,28,54,101,163.5,2209,11990.25,3906.25
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationException,0,16,0,0,0,8,0,4,0,4,,1,0.83,4,127.5,63.5,135.5,4096,64,5184
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConversionException,7,9,0,0,4,4,2,2,2,2,,0.5625,0.83,4,12,63,134,2601,14884,5041
Apache Commons Configuration,org.apache.commons.configuration2.ex,ConfigurationRuntimeException,0,22,0,0,0,10,0,5,0,5,,1,0.83,5,126,62.5,133,4032.25,49,4970.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory.NodeWrapper,0,15,0,0,0,6,0,3,0,3,,1,0.83,3,125.5,62,131.5,4032.25,36,4830.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointerFactory,18,28,2,2,5,8,2,5,1,4,,0.608695652,0.5,7,14,11.5,41.5,6.25,756.25,900
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathContextFactory,0,13,0,0,0,6,0,2,0,2,,1,0.83,2,124,60.5,129,4032.25,25,4692.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorAttribute,0,100,0,12,0,24,0,11,0,5,,1,1,11,123.5,153,187,870.25,4032.25,1156
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorChildren,0,194,0,30,0,50,0,22,0,7,,1,1,22,123,152.5,186,870.25,3969,1122.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,XPathExpressionEngine,23,459,1,57,8,114,1,45,0,17,,0.952282158,0.982758621,46,39,118,167,6241,16384,2401
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodePointer,4,135,1,11,2,35,2,22,1,17,,0.971223022,0.916666667,24,44,101,157,3249,12769,3136
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationNodeIteratorBase,0,127,2,14,0,24,2,18,0,12,,1,0.875,20,120.5,96,150.5,600.25,900,2970.25
Apache Commons Configuration,org.apache.commons.configuration2.tree.xpath,ConfigurationAttributePointer,2,67,1,3,1,22,2,14,1,13,,0.971014493,0.75,16,43,19.5,57,552.25,196,1406.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider.ReloadableWrapperBuilder,0,13,0,0,0,4,0,2,0,2,,1,0.83,2,119,59,127,3600,64,4624
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder.ConfigurationSourceData,14,261,1,19,2,64,1,22,0,13,,0.949090909,0.95,23,38,108,155,4900,13689,2209
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileConfigurationBuilderProvider.WrapperBuilder,0,24,0,0,0,8,0,4,0,4,,1,0.83,4,117.5,58.5,125.5,3481,64,4489
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,FileExtensionConfigurationBuilderProvider,1,88,1,13,1,22,1,12,0,6,,0.988764045,0.928571429,13,51,99.5,151.5,2352.25,10100.25,2704
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ConfigurationDeclaration,4,87,0,14,2,23,2,15,2,8,,0.956043956,1,17,39,144,177,11025,19044,1089
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,CombinedConfigurationBuilder,25,1008,11,71,4,252,11,73,0,43,,0.975798645,0.865853659,84,43,91,141,2304,9604,2500
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiFileBuilderParametersImpl,0,72,0,4,0,23,0,12,0,10,,1,1,12,114,142.5,175,812.25,3721,1056.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,MultiWrapDynaClass,6,76,0,4,1,16,1,8,1,6,,0.926829268,1,9,33,142,174,11881,19881,1024
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingCombinedConfigurationBuilder,0,97,0,6,0,32,0,13,0,10,,1,1,13,112.5,141.5,173,841,3660.25,992.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,ReloadingMultiFileConfigurationBuilder,0,47,0,0,0,13,0,6,0,6,,1,0.83,6,112,58,123.5,2916,132.25,4290.25
