GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,rank.N,rank.o,rank.p,d^2(Q and R),d^2(Q and S),d^2(R and S)
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.Entry,13,20,0,0,3,5,1,3,1,3,0.606060606,0.83,6,15,70.5,156,3080.25,19881,7310.25
Apache Commons Configuration,org.apache.commons.configuration2,SystemConfiguration,4,79,1,5,2,21,2,7,1,5,0.951807229,0.833333333,23,47,112,181,4225,17956,4761
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel.new NodeHandlerDecorator() {...},5,97,1,7,0,25,1,11,0,8,0.950980392,0.875,26,46,116.5,187.5,4970.25,20022.25,5041
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration,36,214,0,18,12,62,6,30,6,21,0.856,1,68,31,188,228,24649,38809,1600
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader,0,36,0,0,0,13,0,6,0,6,1,0.83,13,150.5,70,154.5,6480.25,16,7140.25
Apache Commons Configuration,org.apache.commons.configuration2,MapConfiguration,6,141,0,10,2,38,0,19,0,14,0.959183673,1,38,50,186.5,226,18632.25,30976,1560.25
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationConverter,1,180,2,16,1,45,2,13,0,6,0.994475138,0.888888889,47,68,117,188,2401,14400,5041
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration,4,548,1,31,1,136,1,48,0,33,0.992753623,0.96875,137,67,140,207,5329,19600,4489
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationXMLReader,24,110,1,13,14,41,10,20,9,14,0.820895522,0.928571429,51,28,126,197.5,9604,28730.25,5112.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration,32,813,1,85,7,219,1,77,0,35,0.962130178,0.988372093,220,49,143,209.5,8836,25760.25,4422.25
Apache Commons Configuration,org.apache.commons.configuration2,CompositeConfiguration,11,559,4,68,5,147,4,57,0,25,0.980701754,0.944444444,151,59,131,200,5184,19881,4761
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet,0,28,0,2,0,9,0,4,0,3,1,1,9,144,181,220,1369,5776,1521
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedVisitor,0,21,0,4,0,6,0,5,0,3,1,1,6,143.5,180.5,219,1369,5700.25,1482.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration.new DefaultHandler() {...},0,8,0,0,0,2,0,2,0,2,1,0.83,2,143,69.5,153,5402.25,100,6972.25
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration.ConfigData,0,160,0,8,0,43,0,14,0,10,1,1,43,142.5,179,217,1332.25,5550.25,1444
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler.ImmutableIterator,0,19,0,0,0,6,0,4,0,4,1,0.83,6,142,69,152,5329,100,6889
Apache Commons Configuration,org.apache.commons.configuration2,JNDIConfiguration,18,365,4,34,5,105,7,31,3,16,0.953002611,0.894736842,112,46,115,182.5,4761,18632.25,4556.25
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration.GlobalSectionNodeModel,0,11,0,0,0,3,0,2,0,2,1,0.83,3,140.5,68.5,151,5184,110.25,6806.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.InterpolatedVisitor,28,174,4,10,7,44,3,17,0,13,0.861386139,0.714285714,47,31,19,55.5,144,600.25,1332.25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration.new EventListener() {...},8,6,0,0,2,1,1,1,1,1,0.428571429,0.83,2,9.5,67,146,3306.25,18632.25,6241
Apache Commons Configuration,org.apache.commons.configuration2,FindNodeVisitor,0,25,0,2,0,10,0,6,0,5,1,1,10,138,173.5,211,1260.25,5329,1406.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerRegistrationData,16,55,1,11,4,16,2,9,1,4,0.774647887,0.916666667,18,22,114.5,178,8556.25,24336,4032.25
Apache Commons Configuration,org.apache.commons.configuration2.event,EventListenerList.new Iterable() {...},0,15,0,0,0,2,0,2,0,2,1,0.83,2,136.5,66.5,145,4900,72.25,6162.25
Apache Commons Configuration,org.apache.commons.configuration2.event,BaseEventSource,0,215,0,20,0,58,0,27,0,17,1,1,58,136,171,208,1225,5184,1369
